symbol,value
AEGQRD,3510.0
AIJFBS,3020.0
AJAAJF,4520.0
ANKPII,
AOWNEI,2510.0
AOWXSX,3030.0
APJJHM,4520.0
ASANPU,2010.0
ASEXYC,2010.0
ATUPVQ,4530.0
AUBZAL,2010.0
AWCJON,4520.0
AYNOJU,4520.0
BAFEZW,1510.0
BAGTHE,4520.0
BANEBG,3520.0
BCPUTR,1510.0
BEAHTO,3510.0
BGARRH,2010.0
BHLXOU,4530.0
BKLOUZ,3520.0
BKOQNI,4520.0
BKWYSX,3020.0
BRCOZW,3020.0
BTEYDQ,4530.0
BWLIKT,4520.0
CBBOKY,3020.0
CDPBUL,3020.0
CDSRYG,3020.0
CFFEFN,1510.0
CFKVNH,1510.0
CMLWYO,3510.0
COLPJZ,4530.0
CPCLJX,4530.0
CQNGQE,3520.0
CSFNMS,2010.0
CTNMLG,3030.0
CTYCHI,4530.0
CVROPM,3020.0
CZLSSH,2010.0
DCQYRO,1510.0
DDJUKD,2010.0
DDYPEN,3510.0
DHMCLM,3520.0
DKEETE,2010.0
DKFLKH,3030.0
DLRGZY,4530.0
DQEOIZ,1510.0
DSXCDZ,1510.0
DUDWNF,2010.0
DUYYKV,3510.0
DVNOEX,2010.0
EADJIP,4520.0
EAKPZC,4520.0
EALREA,4530.0
EBIQSS,3520.0
ECNAYU,4530.0
EDKWJJ,4520.0
EHXYYC,4530.0
EJUEMV,4520.0
EKJZOG,4530.0
EKYWRP,3020.0
ELQWPV,1510.0
EQXLMZ,1510.0
ERFJAI,4530.0
ESNONC,4530.0
EUENUU,4530.0
EUOMYO,4520.0
EWAAKG,4520.0
EXBJWK,4530.0
EYQAWN,3030.0
EZCKDK,4530.0
FBXKRD,3510.0
FCCNRR,2010.0
FFOCIJ,2010.0
FKBYDP,3520.0
FOAYLK,4520.0
FRNQCU,4520.0
FTSWHH,3020.0
FUBESA,4520.0
FVMBOR,4530.0
FXIKLD,
FXNNRR,4520.0
FZWTWL,3510.0
GBWGFP,1510.0
GCPWCW,2010.0
GDCFUZ,4520.0
GFRTJY,1510.0
GFVAYA,4530.0
GJDHSQ,4530.0
GQHRXK,2010.0
GQQMUO,4530.0
GRHBNI,2010.0
GSDWRW,1510.0
GSZXYF,4520.0
GWQZPO,3510.0
GXKFWP,3030.0
HIEJZX,3510.0
HNIOXL,2520.0
HOXSZA,3510.0
HQCLVV,4520.0
HRKMDS,4520.0
HZBYDG,
IBTQMK,1510.0
IEPPEH,
IFXTKB,3510.0
IKTSLN,1510.0
ILIREM,3510.0
ILTXVZ,4520.0
ILZVLJ,4530.0
IMYNMI,2010.0
IOPEDG,4530.0
IOULTI,1510.0
IQRCIA,2020.0
IUVCDA,1510.0
IYSTYO,1510.0
IZFMAM,2010.0
JFVDTW,2010.0
JHQXYO,2520.0
JNREXM,4520.0
JOADUZ,2010.0
JYFXNM,2010.0
JYFYGU,4530.0
JYZQZN,2550.0
KBKXEU,5020.0
KCDAJQ,5020.0
KCLSFZ,4520.0
KDOURB,4530.0
KDYIBD,2010.0
KIFVSO,4530.0
KKSZZH,2550.0
KOJBJX,4530.0
KPEPOP,2010.0
KQPERD,3020.0
KRJYDL,4530.0
KSKLFS,4530.0
KTSZMG,3510.0
KUSDWL,4530.0
KVEMSQ,2010.0
KWLQBG,
KXEGJS,2010.0
KYPGWV,3520.0
LDQMLD,1510.0
LEYXXH,2510.0
LHFAOG,1510.0
LIBELH,4520.0
LKMRRP,2010.0
LNTSMQ,2010.0
LOBQFJ,2010.0
LOLGXT,1510.0
LVFNQH,4520.0
LWARKS,4520.0
LYCPEE,2010.0
MARZJV,2010.0
MCUUGN,
MGEMBU,4520.0
MLIWNE,1510.0
MLLYTK,3520.0
MMADDY,1510.0
MSVPZM,4530.0
MZRXTL,2510.0
NCBZCR,4530.0
NFPMGH,2010.0
NGNDYH,1510.0
NGWSCQ,3520.0
NHIDSE,1510.0
NISXLC,2010.0
NJKWOG,2010.0
NLELFR,2010.0
NLEOGC,2010.0
NNRCPW,3520.0
NOGJMK,2010.0
NPDCMZ,3030.0
NRWBSB,1510.0
NTEEJB,2010.0
NWGLEN,2010.0
OCDYNK,2010.0
OCLXYL,4530.0
ODDIML,1510.0
ODMYWR,4530.0
OHXWNL,3020.0
OIHDDW,2510.0
OIVJAZ,2010.0
OJVDDX,4520.0
OKKQOV,2010.0
OOVKZQ,2510.0
OQWEQK,1510.0
OUKEEB,2010.0
OVFFAC,4530.0
OWGUHB,1010.0
OWOSWS,1510.0
OXPQCK,4520.0
OZMNIB,4530.0
OZPQMZ,1510.0
PCRCOY,4520.0
PDPXZM,2010.0
PEALPI,4530.0
PEHUIZ,1510.0
PFORAO,4530.0
PGBCWW,3510.0
PGCZCG,1510.0
PGOHUS,4530.0
PHSPKE,4530.0
PIVNDN,4530.0
PMZNBY,3030.0
PPHSSG,2010.0
PPUBWH,2010.0
PPVUFS,1510.0
PTLLLY,3520.0
PUUYFY,3520.0
PWDGDS,2510.0
PYYYUQ,2510.0
QBVEDF,2010.0
QHKPYN,4520.0
QITCWV,1510.0
QKANEJ,3520.0
QKIGGF,4530.0
QKJFZD,4530.0
QNTBYQ,3510.0
QOBBVK,4520.0
QRKSSH,2520.0
QSYRNF,4530.0
QUGEQX,2010.0
RBHGBR,3020.0
RBQVHJ,3510.0
RDBXJV,2510.0
REGOOJ,2520.0
RIRXTY,4530.0
RJHGDB,3030.0
RLCCAU,1510.0
RMNRAZ,1510.0
RNJWLR,1510.0
RQRGMK,4520.0
RQYWDF,2520.0
RRGVEC,4520.0
RRICRX,2520.0
RSWSGT,3020.0
RTDTNE,4530.0
RYCFCX,2520.0
RYENKI,4530.0
SCPKIE,1510.0
SINXQG,1510.0
SMJTQF,2010.0
SOCLOZ,4520.0
SSTIBF,4520.0
STAIFM,1510.0
SUNVHK,3030.0
SVEEBJ,3520.0
SWYBGR,1510.0
SYAWOP,4520.0
SYQXCC,1510.0
SYVAQV,1510.0
TCPUCO,2510.0
TEBOGM,3520.0
THXVXM,3030.0
TJKMID,3510.0
TMSLKN,4530.0
TNOHWJ,3510.0
TRGLHK,2010.0
TRZRAR,3510.0
TSTQAO,2010.0
TVTYVW,
TWFIYK,4530.0
TXPSGJ,2510.0
UBLHOC,2010.0
UBSCBZ,4530.0
UHIWKC,2010.0
UHUHHJ,2010.0
ULVZSW,2010.0
UOSFXL,3510.0
URRGTF,2010.0
UTBCWZ,1510.0
UVFTKA,3520.0
UWMZJS,4530.0
UWSRIT,2010.0
UZFBRJ,2510.0
VAGYZP,2010.0
VEDGTP,2010.0
VFRLSM,1510.0
VFTVXE,2010.0
VFVAXC,2010.0
VHRETD,2010.0
VKRKMA,4530.0
VMVJFB,2010.0
VONMQT,1510.0
VRVSSE,2010.0
VSSJWB,3510.0
VWXCDB,1510.0
VXCQSI,1510.0
WBNVFV,3510.0
WMFJSY,4520.0
WOKWSF,4530.0
WSRUCA,3520.0
WVTPPU,4520.0
WZDWXR,4530.0
WZESWQ,4520.0
WZMLUY,4520.0
WZPSZL,4530.0
XATRZB,2010.0
XBQDWP,3520.0
XBTGHA,
XCJAHA,2010.0
XEYHZY,2510.0
XFIXSZ,4530.0
XGFKXF,4520.0
XICXCQ,4520.0
XISOSJ,1510.0
XLRGWJ,2010.0
XMUZVK,3010.0
XMYBJC,4530.0
XNXMBG,1510.0
XQVLQE,1510.0
XTHZMM,2010.0
XTNUAL,4520.0
XTWXUV,3020.0
XYJEOS,2510.0
XZKUBD,3020.0
YAIHEQ,3520.0
YBPYJO,3510.0
YCDYBQ,4530.0
YDSAWP,
YFPWKL,3520.0
YGUFCU,
YIQLCR,4520.0
YIYNXL,1510.0
YMOCHA,1510.0
YOTAGQ,2010.0
YOUODW,1510.0
YPESLH,4520.0
YRTSYY,2010.0
YSMFXS,3030.0
YUADCE,2510.0
YVZJHU,1510.0
YYORXN,3510.0
YZNRSP,2510.0
ZCBFJR,3020.0
ZCLBHL,2010.0
ZCNMKU,4520.0
ZEKNHN,4520.0
ZGYUVD,2520.0
ZHWPBM,2010.0
ZIPXGV,2010.0
ZKDKZS,2020.0
ZKDYFY,3510.0
ZPWVVS,3020.0
ZRDNQV,4520.0
ZRGIHQ,2010.0
ZSKWBY,2520.0
ZSYISM,1510.0
