industry_group,surprise_metric,sample_size,slope,intercept,R,R2,p_value,std_err
1010.0,rolling_zscore_yoy,17,-0.0035154934682793976,0.0024689371382466715,-0.3445961675128094,0.1187465186645162,0.17557394132148418,0.0024727524771676747
1010.0,rolling_zscore_qoq,24,0.0013444803388105416,0.0007162492412538964,0.09029513270386157,0.00815321099000797,0.6747788046200116,0.0031615573953976683
1010.0,rolling_zscore_mom,24,0.00021163677052208975,0.0003377899197212465,0.014386850472308732,0.00020698146651256996,0.946803373737143,0.003135949825210778
1510.0,rolling_zscore_yoy,808,-4.964701450879528e-05,0.0009949522153503963,-0.002791033217622252,7.78986642187082e-06,0.936862884847723,0.0006265545957221438
1510.0,rolling_zscore_qoq,1158,0.00019935487889654878,0.0012012007746273875,0.011497970955548172,0.00013220333609462932,0.6959011674733597,0.0005099152904292844
1510.0,rolling_zscore_mom,1158,-0.00104535669208187,0.0011047800406984874,-0.054316933706814174,0.0029503292873104456,0.06463988718527168,0.0005652085706701061
2010.0,rolling_zscore_yoy,1005,-0.0010317787749083021,-0.0018746042280520265,-0.054754123090202944,0.0029980139953770953,0.0827510615265551,0.0005941106079503518
2010.0,rolling_zscore_qoq,1478,-0.0003115293677123619,-0.0004547411014839386,-0.016688011093235172,0.0002784897142479402,0.5214781756506618,0.0004858371868561984
2010.0,rolling_zscore_mom,1478,-0.00046673254979494105,-0.00039645783108271536,-0.023725962420713825,0.0005629212927891246,0.3620342838695254,0.0005118925410536618
2510.0,rolling_zscore_yoy,226,0.0006220428906112018,0.00019782188195425755,0.03876539160447358,0.0015027555862481906,0.5620777745755603,0.0010713357108328636
2510.0,rolling_zscore_qoq,314,0.0022429096865413576,0.0006538153190858155,0.16191638947095469,0.026216917179309886,0.004018205669192335,0.0007738820816718893
2510.0,rolling_zscore_mom,314,-0.000998648202128207,0.0002502148218121226,-0.06665277945697096,0.00444259300933961,0.23892026337552716,0.0008463502307903479
2520.0,rolling_zscore_yoy,132,-0.00047846928594554337,-0.0007165128664648852,-0.04511699880312882,0.002035543581001527,0.6074712835863929,0.0009291797207492562
2520.0,rolling_zscore_qoq,194,-0.0011825795160827566,-0.0012923378993881024,-0.10578881345722459,0.011191273052687462,0.142085738006123,0.0008022248987538543
2520.0,rolling_zscore_mom,194,-0.0005593886093991097,-0.0012705956315608893,-0.04604303412618383,0.002119960991544929,0.5237998305358926,0.0008758671481458508
2550.0,rolling_zscore_yoy,34,0.001126444453597303,-0.006505917799723795,0.05335820398812009,0.002847097932837835,0.7644021131696364,0.0037266144840195042
2550.0,rolling_zscore_qoq,48,-0.0017816357237362807,-0.005747530516751727,-0.0870731815346314,0.007581738942562873,0.5562112332184188,0.0030054046674732023
2550.0,rolling_zscore_mom,48,0.0062399265153037465,-0.005292095875513899,0.2649285545850287,0.07018713903451251,0.06879484319882366,0.0033486485061390457
3010.0,rolling_zscore_yoy,17,-0.005163035826266017,0.002837382316332402,-0.2946512961384967,0.08681938631609609,0.25094468550009097,0.004323440582423477
3010.0,rolling_zscore_qoq,24,0.002060460024884082,0.0015239449437355309,0.1807383023584425,0.032666333939411776,0.3980225577930112,0.0023905113245823407
3010.0,rolling_zscore_mom,24,-0.004008422930347521,0.0014171902853977623,-0.29041357747512403,0.08434004598189987,0.1686160953652826,0.002815868640278695
3020.0,rolling_zscore_yoy,272,0.00038694944238761616,-0.001120473697023972,0.02183208032956954,0.00047663973151677717,0.7200077706142456,0.0010783846485182666
3020.0,rolling_zscore_qoq,393,0.0009855721693816802,-0.0008850453355781839,0.061782863244817854,0.003817122190727865,0.22168346207155173,0.000805195905677517
3020.0,rolling_zscore_mom,393,0.0005160393431076727,-0.0009068843545242531,0.03218737933882749,0.0010360273887015786,0.5246315537008278,0.0008103706989166249
3030.0,rolling_zscore_yoy,183,0.0032559360089866644,-0.004375295410591059,0.11897491829614885,0.014155031183575296,0.10868376413478345,0.002019693512005147
3030.0,rolling_zscore_qoq,253,0.003181117553180354,-0.0016973693228557434,0.12140267641882312,0.01473860984165347,0.05377994766459452,0.001641686883126061
3030.0,rolling_zscore_mom,253,0.0012094143939710314,-0.0015311193880370357,0.04737689533580878,0.00224457021166018,0.4530948903323361,0.0016094731086712174
3510.0,rolling_zscore_yoy,309,-0.001172791256887359,-0.0007721727205243574,-0.056532642524038675,0.003195939670750746,0.32192100135127655,0.0011821079682368632
3510.0,rolling_zscore_qoq,481,-0.00048810162241807304,-0.0007229811514312294,-0.025670366088412704,0.0006589676951131289,0.5743730426894327,0.0008684949391437731
3510.0,rolling_zscore_mom,481,-0.0009600308412609589,-0.0006633189761897778,-0.04880681653187355,0.002382105339975965,0.2853993197346097,0.0008976748594605664
3520.0,rolling_zscore_yoy,191,-0.00016807088448759588,-0.001436086633856429,-0.007767452667808076,6.0333320946638806e-05,0.9150704007021633,0.0015738736571739187
3520.0,rolling_zscore_qoq,323,0.0007623271900592284,-0.0007672241427395483,0.039913792243633985,0.0015931108112679764,0.47470633140668717,0.0010651718634035942
3520.0,rolling_zscore_mom,323,-0.0011204690749576636,-0.0008338238977545516,-0.0563769851006433,0.0031783644490381564,0.3124502886125871,0.0011075267866669284
4520.0,rolling_zscore_yoy,718,-0.0003056334018133442,-0.0011061826568674958,-0.022397040207217844,0.0005016274100437327,0.5490595973110604,0.0005098526960841647
4520.0,rolling_zscore_qoq,1054,0.00011580610479515631,-0.0008538160552165929,0.008857432894411117,7.845411747899609e-05,0.7739406454045794,0.00040308689309548996
4520.0,rolling_zscore_mom,1054,-0.00021227780369367482,-0.0008720727794804417,-0.013735288072803751,0.00018865813844290498,0.6560212943176595,0.0004764507038359861
4530.0,rolling_zscore_yoy,770,-0.0015951329180039777,-0.004589303659826506,-0.08890829209299694,0.007904684402893663,0.013587565964078287,0.000644838114323737
4530.0,rolling_zscore_qoq,1149,-0.0004744991834311615,-0.00438605466864674,-0.02683993543250947,0.0007203821340212774,0.36336904332023345,0.0005218140979408446
4530.0,rolling_zscore_mom,1149,-0.0005073602769287632,-0.00439931820979812,-0.026424176827979262,0.0006982371210363162,0.3708517316755935,0.0005667370596184527
5020.0,rolling_zscore_yoy,18,0.0030471364441457907,0.005276670304833014,0.40047851748900043,0.16038304297018763,0.09958210584444842,0.0017429835408839173
5020.0,rolling_zscore_qoq,33,0.0025966679875956303,-0.0008553173140268361,0.18438762694342345,0.0339987969698271,0.30431421140361103,0.0024859514091251315
5020.0,rolling_zscore_mom,33,-0.0014860188451140063,4.575616671899274e-05,-0.09739193814281485,0.009485189615213874,0.5897583136089262,0.0027274132644947717
